run_id,entry_pc,step,pc,space,addr,value,previous_value,access_type,role_candidate,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,170,0x415B,sfr,0x0083,0x10,0x0F,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,173,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,174,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,177,0x4155,sfr,0x0082,0x88,0x80,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,179,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,180,0x415B,sfr,0x0083,0x11,0x10,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,183,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,184,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,187,0x4155,sfr,0x0082,0x90,0x88,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,189,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,190,0x415B,sfr,0x0083,0x12,0x11,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,193,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,194,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,197,0x4155,sfr,0x0082,0x98,0x90,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,199,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,200,0x415B,sfr,0x0083,0x13,0x12,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,203,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,204,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,207,0x4155,sfr,0x0082,0xA0,0x98,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,209,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,210,0x415B,sfr,0x0083,0x14,0x13,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,213,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,214,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,217,0x4155,sfr,0x0082,0xA8,0xA0,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,219,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,220,0x415B,sfr,0x0083,0x15,0x14,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,223,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,224,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,227,0x4155,sfr,0x0082,0xB0,0xA8,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,229,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,230,0x415B,sfr,0x0083,0x16,0x15,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,233,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,234,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,237,0x4155,sfr,0x0082,0xB8,0xB0,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,239,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,240,0x415B,sfr,0x0083,0x17,0x16,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,243,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,244,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,247,0x4155,sfr,0x0082,0xC0,0xB8,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,249,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,250,0x415B,sfr,0x0083,0x18,0x17,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,253,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,254,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,257,0x4155,sfr,0x0082,0xC8,0xC0,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,259,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,260,0x415B,sfr,0x0083,0x19,0x18,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,263,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,264,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,267,0x4155,sfr,0x0082,0xD0,0xC8,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,269,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
