candidate_addr,candidate_type,reason,referenced_by,raw_bytes_or_operands,evidence_level,confidence,notes
0x4578,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x457D,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4589,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x458C,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x458E,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4591,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x459A,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x459F,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x45AB,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x45B3,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x45B6,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x45B8,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x45BB,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x45C3,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x45C6,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x45C8,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x45CB,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x45D3,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x45D6,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x45D8,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x45DB,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x45E2,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x45E5,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x45E7,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x45EA,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x45F1,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x45F6,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4602,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4608,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x460C,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x460F,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4611,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4614,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4722,port_read_routine_candidate,direct_sfr_port_operand,,85 83,static_code,low,opcode_pattern_scan
0x4742,port_read_routine_candidate,direct_sfr_port_operand,,85 83,static_code,low,opcode_pattern_scan
0x475C,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x475F,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4762,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4765,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x47D6,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x47D9,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
