branch,file,function_addr,code_addr,state_candidate,score,confidence,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5774,unknown_sensor_state,3.000,hypothesis,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5792,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x579E,unknown_sensor_state,3.000,hypothesis,JNZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57BC,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57C8,unknown_sensor_state,3.000,hypothesis,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57E6,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57F2,unknown_sensor_state,3.000,hypothesis,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5810,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58BA,unknown_sensor_state,3.000,hypothesis,JZ,+14,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58C1,unknown_sensor_state,3.000,hypothesis,JNZ,+7,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58CB,unknown_sensor_state,4.000,hypothesis,CJNE,"R2,#0x08,-23",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58D7,unknown_sensor_state,3.000,hypothesis,JZ,+17,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58EB,unknown_sensor_state,4.000,hypothesis,CJNE,"R2,#0x08,-30",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58F8,unknown_sensor_state,3.000,hypothesis,SETB,0xE7,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5905,unknown_sensor_state,3.000,hypothesis,SETB,0xE0,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6140,unknown_sensor_state,3.000,hypothesis,JNZ,+7,,,0,0,1,0,,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6146,unknown_sensor_state,3.000,hypothesis,SETB,0xE2,,,0,1,0,0,,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6844,unknown_sensor_state,3.000,hypothesis,JB,"0xEF,-112",,,0,0,1,0,0x597F;0x5A7F;0x7922,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x738E,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x05,+12",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7395,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x03",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x739D,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x03,+12",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73A3,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73A8,unknown_sensor_state,4.000,hypothesis,ORL,"A,#0x07",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73AC,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x04,+1",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73B4,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73BB,unknown_sensor_state,3.000,hypothesis,JNB,"0x14,-16",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73C6,unknown_sensor_state,3.000,hypothesis,JZ,+10,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73CF,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x0F",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73D9,unknown_sensor_state,3.000,hypothesis,JZ,+11,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73E2,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x0F",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73E8,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x03",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73F4,unknown_sensor_state,4.000,hypothesis,CJNE,"R7,#0x08,-55",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7400,unknown_sensor_state,3.000,hypothesis,JZ,+18,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x740C,unknown_sensor_state,3.000,hypothesis,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7415,unknown_sensor_state,4.000,hypothesis,CJNE,"R2,#0x08,-28",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7424,unknown_sensor_state,3.000,hypothesis,JZ,+28,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7434,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7436,unknown_sensor_state,3.000,hypothesis,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7440,unknown_sensor_state,3.000,hypothesis,DJNZ,"R3,-15",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x744D,unknown_sensor_state,3.000,hypothesis,JZ,+28,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x745D,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x745F,unknown_sensor_state,3.000,hypothesis,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7469,unknown_sensor_state,3.000,hypothesis,DJNZ,"R3,-15",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x747C,unknown_sensor_state,3.000,hypothesis,JZ,+1,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x749F,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x10",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,focused 90CYE_DKS trace
