file,branch,code_addr,call_type,target_addr
A04_28.PZU,A03_A04,0x91B5,LCALL,0x94CD
A04_28.PZU,A03_A04,0x91BB,LCALL,0x66FC
A04_28.PZU,A03_A04,0x91D8,LCALL,0x6C07
A04_28.PZU,A03_A04,0x91E2,LCALL,0x6884
A04_28.PZU,A03_A04,0x91E8,LJMP,0x66C0
A04_28.PZU,A03_A04,0x91F0,LCALL,0x9DD6
A04_28.PZU,A03_A04,0x91F6,LCALL,0x94CD
A04_28.PZU,A03_A04,0x91FC,LCALL,0x66FC
A04_28.PZU,A03_A04,0x9200,LJMP,0x7E00
A04_28.PZU,A03_A04,0x9203,LCALL,0x94CD
A04_28.PZU,A03_A04,0x9209,LCALL,0x66FC
A04_28.PZU,A03_A04,0x9214,LCALL,0x6C07
A04_28.PZU,A03_A04,0x921D,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9225,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9229,LJMP,0x8E9C
A04_28.PZU,A03_A04,0x922D,LCALL,0x93D1
A04_28.PZU,A03_A04,0x9235,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9244,LCALL,0x6868
A04_28.PZU,A03_A04,0x924D,LCALL,0x6868
A04_28.PZU,A03_A04,0x9256,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9266,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9272,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9275,LCALL,0x6AF9
A04_28.PZU,A03_A04,0x927B,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9284,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9287,LCALL,0x6B14
A04_28.PZU,A03_A04,0x9290,LCALL,0x687B
A04_28.PZU,A03_A04,0x9298,LJMP,0x66C0
A04_28.PZU,A03_A04,0x92A1,LCALL,0x94CD
A04_28.PZU,A03_A04,0x92A7,LCALL,0x66FC
A04_28.PZU,A03_A04,0x92B2,LCALL,0x6C06
A04_28.PZU,A03_A04,0x92BB,LJMP,0x66C0
A04_28.PZU,A03_A04,0x92C6,LCALL,0x6868
A04_28.PZU,A03_A04,0x92CF,LCALL,0x6C06
A04_28.PZU,A03_A04,0x92DE,LCALL,0x68A6
A04_28.PZU,A03_A04,0x92E5,LCALL,0x6C07
A04_28.PZU,A03_A04,0x92F1,LCALL,0x6C07
A04_28.PZU,A03_A04,0x92F4,LCALL,0x6AF9
A04_28.PZU,A03_A04,0x92FA,LJMP,0x66C0
A04_28.PZU,A03_A04,0x92FE,LJMP,0x60BD
A04_28.PZU,A03_A04,0x930B,LCALL,0x6868
A04_28.PZU,A03_A04,0x931A,LCALL,0x687B
A04_28.PZU,A03_A04,0x9325,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9328,LCALL,0x6B14
A04_28.PZU,A03_A04,0x9333,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9341,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9344,LCALL,0x6B07
A04_28.PZU,A03_A04,0x934A,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9357,LCALL,0x6868
A04_28.PZU,A03_A04,0x9365,LCALL,0x687B
A04_28.PZU,A03_A04,0x9370,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9373,LCALL,0x6B14
A04_28.PZU,A03_A04,0x937E,LCALL,0x94CD
A04_28.PZU,A03_A04,0x9384,LCALL,0x66FC
A04_28.PZU,A03_A04,0x938F,LCALL,0x6884
A04_28.PZU,A03_A04,0x9395,LJMP,0x66C0
A04_28.PZU,A03_A04,0x93A0,LCALL,0x6868
A04_28.PZU,A03_A04,0x93A9,LCALL,0x6C06
A04_28.PZU,A03_A04,0x93B8,LCALL,0x6C07
A04_28.PZU,A03_A04,0x93C1,LJMP,0x66C0
A04_28.PZU,A03_A04,0x93CC,LCALL,0x68ED
A04_28.PZU,A03_A04,0x93E8,LCALL,0x6C06
A04_28.PZU,A03_A04,0x93F1,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9412,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9416,LCALL,0x687B
A04_28.PZU,A03_A04,0x942B,LCALL,0x6C07
A04_28.PZU,A03_A04,0x942E,LCALL,0x67E4
A04_28.PZU,A03_A04,0x943C,LCALL,0x6869
A04_28.PZU,A03_A04,0x945D,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9463,LJMP,0x7401
A04_28.PZU,A03_A04,0x9474,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9477,LJMP,0x670C
A04_28.PZU,A03_A04,0x9485,LJMP,0xA412
A04_28.PZU,A03_A04,0x9487,LCALL,0x6C07
