file,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_type,call_target,notes
A04_28.PZU,0x889F,0x88D6,0x88D1,MOVX,"@DPTR,A",,0x88D7,,,,,
A04_28.PZU,0x889F,0x88D7,0x88D1,MOV,"DPTR,#0x32A1",,0x88DA,0x32A1,write,,,xdata
A04_28.PZU,0x889F,0x88DA,0x88D1,MOVX,"@DPTR,A",,0x88DB,,,,,
A04_28.PZU,0x889F,0x88DB,0x88DB,MOV,"DPTR,#0x329D",,0x88DE,,,,,
A04_28.PZU,0x889F,0x88DE,0x88DB,MOV,"A,#0x01",,0x88E0,,,,,
A04_28.PZU,0x889F,0x88E0,0x88DB,MOVX,"@DPTR,A",,0x88E1,,,,,
A04_28.PZU,0x889F,0x88E1,0x88DB,SJMP,+35,0x8906,,,,SJMP,0x8906,
A04_28.PZU,0x889F,0x88F4,0x88F4,CJNE,"A,#0x08,+0",0x88F7,0x88F7,,,,,
A04_28.PZU,0x889F,0x88F7,0x88F7,JC,+7,0x8900,0x88F9,,,,,
A04_28.PZU,0x889F,0x88F9,0x88F9,MOV,"DPTR,#0x329D",,0x88FC,,,,,
A04_28.PZU,0x889F,0x88FC,0x88F9,UNK,,,0x88FD,,,,,
A04_28.PZU,0x889F,0x88FD,0x88F9,MOVX,"@DPTR,A",,0x88FE,,,,,
A04_28.PZU,0x889F,0x88FE,0x88F9,SJMP,+6,0x8906,,,,SJMP,0x8906,
A04_28.PZU,0x889F,0x8900,0x8900,MOV,"DPTR,#0x329D",,0x8903,0x329D,read,,,xdata
A04_28.PZU,0x889F,0x8903,0x8900,MOVX,"A,@DPTR",,0x8904,,,,,
A04_28.PZU,0x889F,0x8904,0x8900,UNK,,,0x8905,,,,,
A04_28.PZU,0x889F,0x8905,0x8900,MOVX,"@DPTR,A",,0x8906,,,,,
A04_28.PZU,0x889F,0x8906,0x8906,MOV,"DPTR,#0x329C",,0x8909,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x8909,0x8906,MOVX,"A,@DPTR",,0x890A,,,,,
A04_28.PZU,0x889F,0x890A,0x8906,CLR,0xE7,,0x890C,,,,,
A04_28.PZU,0x889F,0x890C,0x8906,MOVX,"@DPTR,A",,0x890D,,,,,
A04_28.PZU,0x889F,0x890D,0x8906,RET,,,,,,,,
A04_28.PZU,0x889F,0x890E,0x890E,MOV,"DPTR,#0x329D",,0x8911,0x329D,read,,,xdata
A04_28.PZU,0x889F,0x8911,0x890E,MOVX,"A,@DPTR",,0x8912,,,,,
A04_28.PZU,0x889F,0x8912,0x890E,JNZ,+5,0x8919,0x8914,,,,,
A04_28.PZU,0x889F,0x8914,0x8914,LCALL,0x8989,0x8989,0x8917,,,LCALL,0x8989,
A04_28.PZU,0x889F,0x8917,0x8914,SJMP,+98,0x897B,,,,SJMP,0x897B,
A04_28.PZU,0x889F,0x8919,0x8919,JB,"0xE0,+11",0x8927,0x891C,,,,,
A04_28.PZU,0x889F,0x891C,0x891C,JB,"0xE1,+29",0x893C,0x891F,,,,,
A04_28.PZU,0x889F,0x891F,0x891F,JB,"0xE2,+47",0x8951,0x8922,,,,,
A04_28.PZU,0x889F,0x8922,0x8922,JB,"0xE3,+65",0x8966,0x8925,,,,,
A04_28.PZU,0x889F,0x8925,0x8925,SJMP,+78,0x8975,,,,SJMP,0x8975,
A04_28.PZU,0x889F,0x8927,0x8927,JNB,"0xF0,+12",0x8936,0x892A,,,,,
A04_28.PZU,0x889F,0x892A,0x892A,LCALL,0x8999,0x8999,0x892D,,,LCALL,0x8999,
A04_28.PZU,0x889F,0x892D,0x892A,MOV,"DPTR,#0x329C",,0x8930,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x8930,0x892A,MOVX,"A,@DPTR",,0x8931,,,,,
A04_28.PZU,0x889F,0x8931,0x892A,CLR,0xE0,,0x8933,,,,,
A04_28.PZU,0x889F,0x8933,0x892A,MOVX,"@DPTR,A",,0x8934,,,,,
A04_28.PZU,0x889F,0x8934,0x892A,SJMP,+69,0x897B,,,,SJMP,0x897B,
A04_28.PZU,0x889F,0x8936,0x8936,MOV,"DPTR,#0x329D",,0x8939,,,,,
A04_28.PZU,0x889F,0x8939,0x8936,MOV,"A,#0x02",,0x893B,,,,,
A04_28.PZU,0x889F,0x893B,0x8936,MOVX,"@DPTR,A",,0x893C,,,,,
A04_28.PZU,0x889F,0x893C,0x893C,JNB,"0xF1,+12",0x894B,0x893F,,,,,
A04_28.PZU,0x889F,0x893F,0x893F,LCALL,0x89B1,0x89B1,0x8942,,,LCALL,0x89B1,
A04_28.PZU,0x889F,0x8942,0x893F,MOV,"DPTR,#0x329C",,0x8945,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x8945,0x893F,MOVX,"A,@DPTR",,0x8946,,,,,
A04_28.PZU,0x889F,0x8946,0x893F,CLR,0xE1,,0x8948,,,,,
A04_28.PZU,0x889F,0x8948,0x893F,MOVX,"@DPTR,A",,0x8949,,,,,
A04_28.PZU,0x889F,0x8949,0x893F,SJMP,+48,0x897B,,,,SJMP,0x897B,
A04_28.PZU,0x889F,0x894B,0x894B,MOV,"DPTR,#0x329D",,0x894E,,,,,
