file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2001 90cye01.PZU,true,ok,0x4A0F,xdata_reader_candidate,2,unknown,unknown,3,2,11,0,0,0,0,0,0,0,0,0,2,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x68D1,xdata_reader_candidate,2,unknown,unknown,1,0,1,2,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x6B59,xdata_reader_candidate,2,unknown,unknown,3,2,1,1,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x8F5C,xdata_reader_candidate,2,unknown,unknown,1,0,16,0,0,0,0,0,0,0,0,0,7,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x8F74,xdata_reader_candidate,2,unknown,unknown,1,0,10,0,0,0,0,0,0,0,0,0,7,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x8F9F,xdata_reader_candidate,2,unknown,unknown,1,0,2,1,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x90BF,xdata_reader_candidate,2,unknown,unknown,1,0,2,1,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9111,xdata_reader_candidate,2,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x911C,xdata_reader_candidate,2,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9134,xdata_reader_candidate,2,unknown,unknown,1,0,3,0,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9143,xdata_reader_candidate,2,unknown,unknown,1,0,4,0,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x916D,xdata_reader_candidate,2,unknown,unknown,3,2,4,0,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x91BB,xdata_reader_candidate,2,unknown,unknown,1,0,1,3,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9BE2,call_hub_candidate,2,unknown,unknown,1,0,1,7,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
