file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F0E,E0,MOVX,"A,@DPTR",1,,0x6F0F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F0F,5A F0,UNK,,2,,0x6F11,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F11,90 31 A4,MOV,"DPTR,#0x31A4",3,,0x6F14,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F14,E0,MOVX,"A,@DPTR",1,,0x6F15,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F15,CA,UNK,,1,,0x6F16,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F16,F0,MOVX,"@DPTR,A",1,,0x6F17,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F17,CA,UNK,,1,,0x6F18,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F18,6A 5A,UNK,,2,,0x6F1A,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F1A,FA,MOV,"R2,A",1,,0x6F1B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F1B,7B 00,MOV,"R3,#0x00",2,,0x6F1D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F1D,EA,MOV,"A,R2",1,,0x6F1E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F1E,13,UNK,,1,,0x6F1F,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F1F,FA,MOV,"R2,A",1,,0x6F20,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F20,50 0C,JNC,+12,2,0x6F2E,0x6F22,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F22,90 36 6B,MOV,"DPTR,#0x366B",3,,0x6F25,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F25,EB,MOV,"A,R3",1,,0x6F26,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F26,23,UNK,,1,,0x6F27,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F27,23,UNK,,1,,0x6F28,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F28,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x6F2B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F2B,12 7D 38,LCALL,0x7D38,3,0x7D38,0x6F2E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F2E,0B,INC,R3,1,,0x6F2F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F2F,BB 08 EB,CJNE,"R3,#0x08,-21",3,0x6F1D,0x6F32,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F32,90 31 A1,MOV,"DPTR,#0x31A1",3,,0x6F35,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F35,E0,MOVX,"A,@DPTR",1,,0x6F36,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F36,F4,UNK,,1,,0x6F37,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F37,F5 F0,MOV,"0xF0,A",2,,0x6F39,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F39,90 31 A7,MOV,"DPTR,#0x31A7",3,,0x6F3C,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F3C,E0,MOVX,"A,@DPTR",1,,0x6F3D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F3D,55 F0,UNK,,2,,0x6F3F,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F3F,90 31 A0,MOV,"DPTR,#0x31A0",3,,0x6F42,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F42,F0,MOVX,"@DPTR,A",1,,0x6F43,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F43,90 FF 92,MOV,"DPTR,#0xFF92",3,,0x6F46,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F46,F4,UNK,,1,,0x6F47,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F47,43 8E,UNK,,2,,0x6F49,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F49,07,UNK,,1,,0x6F4A,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F4A,F0,MOVX,"@DPTR,A",1,,0x6F4B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F4B,53 8E,UNK,,2,,0x6F4D,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F4D,F8,MOV,"R0,A",1,,0x6F4E,True,flow,high
