file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x74B1,0x46A0,0x7C0A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x74CD,0x737F,0x64B6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7500,0x73F0,0x64A7,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7569,0x31D1,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x757D,0x32B5,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x75D6,0x31D1,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x76C5,0x302A,0x607B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7752,0x32B5,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7883,0x4343,0x7BD2,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x78AF,0x4343,0x7BD2,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x793E,0x8A41,0x8A42,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x79F0,0x4411,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7B06,0xFF81,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7CEE,0x7D5B,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7CF4,0x7D5A,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F1E,0x459F,0x0127,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FB5,0x4440,0x7709,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x809D,0x80F8,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x80A3,0x80CC,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x80B8,0x53C5,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x80BE,0x52B9,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x80E5,0x311C,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x80EF,0x8099,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x81B0,0x8338,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x81B6,0x81BF,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x81C6,0x46E9,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x81F0,0x5392,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x81F6,0x540C,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8210,0x5422,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8222,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8234,0x7248,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8251,0x52CE,0x655F,probable_pointer_argument,medium
